# BEAST v1.8.3
# Generated Mon Aug 01 09:09:04 PDT 2016 [seed=1365332436823]
# -window -working -options
state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline.groupSize6	skyline.groupSize7	skyline.groupSize8	skyline.groupSize9	skyline.groupSize10	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	skyline
0	-66780.309648355	-2849.094471914444	-63931.215176440564	154.82969281769144	490.0	490.0	490.0	490.0	490.0	490.0	490.0	490.0	490.0	490.0	8.0	8.0	8.0	8.0	7.0	7.0	7.0	7.0	7.0	7.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.05	0.049999999999999975	-63931.215176440564	0.0	-473.6999649753768
25000	-11576.401452167522	-2839.6537803446536	-8736.747671822868	4405.065047618628	84.20535015326051	78.47178953618484	151.9511285753854	574.5857409994702	541.6350186484807	654.0649400661856	304.0133556078765	632.1499159593463	447.9379628924367	1329.0126155363353	15.0	11.0	14.0	8.0	2.0	5.0	5.0	10.0	1.0	3.0	7.59863477508469	0.23695191084968992	0.2479919435159468	0.22690326328416724	0.28815288235019587	2.591922577576976E-4	2.591922577576977E-4	-8736.747671822868	0.0	-462.88576135686907
50000	-11558.943583616827	-2820.3284967117797	-8738.615086905047	4659.61817649146	34.04983261252973	112.9468754919482	63.502374731805354	127.21164075135168	203.70453536967455	1028.7700296945245	355.49384574732426	576.6091889546302	671.1285085506436	1625.8937384218696	6.0	4.0	27.0	1.0	6.0	2.0	16.0	6.0	2.0	4.0	6.927280775728305	0.25177678261242037	0.2527742358717086	0.23995642364462727	0.25549255787124364	2.662044150978703E-4	2.6620441509787017E-4	-8738.615086905047	0.0	-444.5256012017554
75000	-11554.104985953923	-2828.1317924670575	-8725.973193486867	3556.82639283184	34.14690203055941	151.34468332122316	57.125175383396815	66.92338293732296	184.96104201603183	442.5703294191646	762.2043181029837	888.1442083951806	763.0105151689676	911.4297395614543	7.0	3.0	22.0	3.0	5.0	10.0	4.0	6.0	6.0	8.0	6.215801658794178	0.2607456587310957	0.2617950841301985	0.22355732350949517	0.2539019336292105	2.720811563038093E-4	2.7208115630380933E-4	-8725.973193486867	0.0	-454.57478965079844
100000	-11541.515230419645	-2809.443918096983	-8732.071312322661	3463.189574131253	75.063129012334	59.26277763563153	22.995289008203187	43.30432858761491	91.0124572557366	292.5989071934859	177.3033966634191	451.72889687045654	734.3822493200477	2908.458681943545	11.0	7.0	13.0	4.0	4.0	3.0	7.0	15.0	9.0	1.0	6.485642331985691	0.2525610351101769	0.23754972527400384	0.23721363714454782	0.2726756024712712	3.098176700214726E-4	3.098176700214725E-4	-8732.071312322661	0.0	-438.786014622279
125000	-11545.363118016074	-2815.2531642498266	-8730.109953766247	3773.6042350219072	3.3172505529621974	8.378622566448898	42.5478097015531	95.45635171243597	319.3701956649016	254.3006645594978	618.1451309977793	569.6448864712734	648.5008989574048	1143.1004523660135	1.0	2.0	28.0	6.0	3.0	9.0	5.0	12.0	3.0	5.0	6.4905444482678885	0.2628760848479435	0.24915144523029575	0.23902144007931955	0.24895102984244097	2.781702868490947E-4	2.7817028684909477E-4	-8730.109953766247	0.0	-445.7859081675873
150000	-11541.80373717127	-2814.0669485054086	-8727.736788665861	3499.4649037551944	25.907986258524236	30.811231199603455	38.99084540254314	102.10692352492494	134.2937900045941	318.6953165474488	481.86670275648396	345.7814409050064	620.7948878179532	1093.6259374667425	3.0	1.0	29.0	5.0	1.0	10.0	15.0	3.0	1.0	6.0	6.743377776918545	0.24792964189007477	0.25478381310586706	0.23365969103921935	0.2636268539648385	2.725058390422848E-4	2.7250583904228474E-4	-8727.736788665861	0.0	-446.27359005231324
175000	-11570.220341403536	-2833.6651775210476	-8736.555163882487	3480.5637232117892	36.637211926657415	123.11726765936653	39.83209019228414	133.5155075679045	311.58733489457177	136.73922052634714	385.47561533536873	226.51495094294364	924.583986980611	954.9518985664217	3.0	18.0	7.0	3.0	6.0	3.0	11.0	2.0	5.0	16.0	7.49019705050306	0.254081536166814	0.2564396945429456	0.227457904241943	0.262020865048297	3.2188795514211056E-4	3.2188795514211056E-4	-8736.555163882487	0.0	-459.80530247390993
200000	-11549.980997950333	-2820.1830533488337	-8729.7979446015	3485.7587803560655	20.170533568357015	52.96327888024474	62.04182565290005	91.80403809153	428.7615574174764	294.2400995641433	266.5675025241181	545.1827911616089	446.0890619039531	593.1893245560773	5.0	9.0	10.0	9.0	1.0	2.0	6.0	3.0	17.0	12.0	6.490518270080593	0.2626858571155715	0.24641482211060042	0.23136092558429208	0.25953839518953564	2.71702415528283E-4	2.7170241552828303E-4	-8729.7979446015	0.0	-450.2523675898211
225000	-11563.473516847356	-2830.978858276655	-8732.494658570702	4831.632994430642	28.659730485786422	88.55127342153749	40.76681239213039	53.98381905271795	202.8681575769618	351.06475913657056	514.3466531727469	440.6513336217916	869.3721074235651	1049.7665943978977	3.0	8.0	19.0	3.0	7.0	3.0	6.0	10.0	3.0	12.0	6.68086742580317	0.24965189288931508	0.26202083670415904	0.22755513148366804	0.26077213892285755	2.2292875136294268E-4	2.2292875136294276E-4	-8732.494658570702	0.0	-460.06506668472065
